iter	RMSE
0	14.37731643
1	13.93345192
2	13.46043763
3	13.03500099
4	12.65542094
5	12.26537896
6	11.96051357
7	11.68002518
8	11.3850088
9	11.10519376
10	10.78458089
11	10.47383259
12	10.18479418
13	9.918482007
14	9.689486811
15	9.441712045
16	9.215059589
17	9.01872235
18	8.808441781
19	8.616088845
20	8.433369247
21	8.264901311
22	8.130607318
23	7.968892718
24	7.83248032
25	7.731288332
26	7.591046919
27	7.465987699
28	7.363232126
29	7.253838907
30	7.155448107
31	7.07093083
32	6.98089777
33	6.906044563
34	6.817856825
35	6.767455439
36	6.686996775
37	6.610926554
38	6.558080334
39	6.496114355
40	6.452725054
41	6.393366934
42	6.332532298
43	6.295200515
44	6.254935511
45	6.204718356
46	6.161157835
47	6.112035722
48	6.07726302
49	6.038052323
50	6.00069101
51	5.96066548
52	5.928960762
53	5.900010207
54	5.86945315
55	5.842735322
56	5.81861959
57	5.793531586
58	5.77254655
59	5.751365031
60	5.728085179
61	5.711636745
62	5.69043042
63	5.670778828
64	5.648138962
65	5.628028853
66	5.60818483
67	5.592022296
68	5.5754219
69	5.558115813
70	5.548288546
71	5.534147748
72	5.522680396
73	5.507358376
74	5.494930006
75	5.481844979
76	5.472677602
77	5.461388543
78	5.45162483
79	5.435493797
80	5.428200923
81	5.418133843
82	5.404751682
83	5.394548045
84	5.386830957
85	5.38176303
86	5.366989238
87	5.359430564
88	5.353485907
89	5.344945309
90	5.340733628
91	5.333084604
92	5.324892237
93	5.318392746
94	5.307529506
95	5.298268168
96	5.292202459
97	5.285367144
98	5.280886363
99	5.277168984
100	5.273850876
101	5.263580912
102	5.256213653
103	5.250185928
104	5.246364249
105	5.241188551
106	5.235159364
107	5.227932349
108	5.21932432
109	5.21421622
110	5.207343269
111	5.19897549
112	5.194188604
113	5.193045703
114	5.187775592
115	5.18357009
116	5.178790102
117	5.175046967
118	5.169852256
119	5.165360547
120	5.162140549
121	5.159248834
122	5.155721587
123	5.15373625
124	5.150994785
125	5.146875695
126	5.143617979
127	5.141493573
128	5.136253833
129	5.132274941
130	5.129706929
131	5.126191874
132	5.123225403
133	5.120835763
134	5.114171116
135	5.109505477
136	5.104571093
137	5.101655827
138	5.098378237
139	5.094798669
140	5.092848758
141	5.090644224
142	5.08478147
143	5.081524869
144	5.077266629
145	5.074217259
146	5.069359002
147	5.065821525
148	5.059841789
149	5.055915547
150	5.050974968
151	5.048852753
152	5.044646731
153	5.043454339
154	5.041872835
155	5.040365869
156	5.036475177
157	5.028929296
158	5.025375772
159	5.023408656
160	5.017993601
161	5.011631595
162	5.009129491
163	5.006552279
164	5.000715507
165	4.992839229
166	4.987948662
167	4.985322486
168	4.978118222
169	4.971371504
170	4.965115521
171	4.961218559
172	4.956285349
173	4.952546067
174	4.946411704
175	4.943794869
176	4.940815721
177	4.935348225
178	4.933297644
179	4.928496645
180	4.922371825
181	4.920126604
182	4.916052511
183	4.909214721
184	4.906175782
185	4.903098826
186	4.899506524
187	4.895672589
188	4.892766197
189	4.888384098
190	4.882201598
191	4.879905005
192	4.875594074
193	4.872893333
194	4.865465164
195	4.863650605
196	4.857726444
197	4.851172396
198	4.842844687
199	4.836711313
