iter	Passed	Remaining
0	153	153468
1	154	77007
2	154	51359
3	157	39259
4	157	31430
5	158	26204
6	158	22479
7	158	19680
8	158	17502
9	159	15759
10	159	14343
11	159	13154
12	160	12150
13	160	11304
14	160	10555
15	161	9904
16	161	9324
17	161	8837
18	162	8376
19	162	7960
20	162	7584
21	162	7243
22	163	6931
23	163	6646
24	163	6383
25	163	6140
26	164	5916
27	164	5709
28	164	5515
29	165	5347
30	165	5177
31	166	5027
32	166	4876
33	166	4740
34	167	4610
35	167	4495
36	168	4379
37	168	4266
38	168	4158
39	169	4058
40	169	3964
41	170	3878
42	170	3792
43	170	3708
44	170	3627
45	171	3555
46	171	3482
47	172	3411
48	172	3343
49	172	3278
50	172	3218
51	173	3157
52	173	3098
53	173	3047
54	174	2994
55	174	2947
56	175	2897
57	175	2853
58	176	2807
59	176	2764
60	176	2721
61	177	2680
62	177	2645
63	178	2607
64	178	2567
65	178	2529
66	179	2493
67	179	2457
68	179	2423
69	179	2389
70	180	2356
71	180	2323
72	180	2292
73	181	2265
74	181	2237
75	181	2211
76	182	2186
77	183	2165
78	183	2139
79	183	2113
80	184	2089
81	184	2066
82	184	2042
83	185	2018
84	185	1995
85	185	1972
86	185	1951
87	186	1929
88	186	1908
89	186	1887
90	186	1867
91	187	1849
92	187	1829
93	187	1810
94	188	1792
95	188	1774
96	188	1756
97	188	1738
98	189	1721
99	189	1704
100	189	1687
101	189	1671
102	190	1656
103	190	1641
104	190	1625
105	190	1610
106	191	1596
107	191	1581
108	191	1567
109	192	1553
110	192	1540
111	192	1527
112	192	1514
113	193	1502
114	193	1489
115	193	1477
116	194	1465
117	194	1453
118	194	1441
119	194	1429
120	195	1418
121	195	1407
122	195	1396
123	196	1385
124	196	1375
125	196	1364
126	197	1354
127	197	1344
128	198	1341
129	199	1334
130	199	1324
131	199	1314
132	200	1310
133	201	1300
134	201	1291
135	201	1282
136	202	1274
137	202	1265
138	202	1257
139	203	1248
140	203	1240
141	204	1236
142	205	1228
143	205	1221
144	205	1214
145	206	1205
146	206	1199
147	207	1192
148	207	1185
149	207	1177
150	208	1173
151	209	1166
152	209	1159
153	209	1152
154	210	1145
155	210	1138
156	210	1131
157	211	1124
158	211	1118
159	212	1113
160	212	1106
161	212	1101
162	213	1094
163	213	1087
164	213	1082
165	214	1076
166	214	1071
167	215	1065
168	215	1059
169	215	1052
170	215	1046
171	216	1043
172	216	1037
173	217	1033
174	217	1027
175	218	1022
176	218	1017
177	219	1011
178	219	1006
179	219	1001
180	220	995
181	220	990
