iter	Passed	Remaining
0	1	1962
1	4	2162
2	7	2361
3	9	2399
4	12	2514
5	14	2451
6	16	2287
7	18	2239
8	19	2156
9	21	2136
10	24	2169
11	25	2132
12	28	2130
13	29	2072
14	31	2054
15	32	2017
16	33	1961
17	35	1953
18	38	1968
19	39	1932
20	41	1953
21	43	1919
22	44	1906
23	47	1921
24	47	1869
25	49	1842
26	50	1821
27	53	1840
28	54	1819
29	55	1802
30	56	1781
31	57	1752
32	58	1723
33	60	1705
34	60	1679
35	62	1668
36	64	1668
37	66	1692
38	69	1706
39	70	1696
40	72	1702
41	73	1685
42	74	1659
43	75	1637
44	76	1616
45	77	1604
46	79	1614
47	81	1620
48	83	1618
49	85	1616
50	86	1613
51	88	1616
52	90	1608
53	91	1600
54	92	1591
55	94	1584
56	95	1580
57	96	1571
58	98	1563
59	99	1564
60	101	1565
61	103	1559
62	104	1553
63	105	1546
64	106	1537
65	108	1531
66	109	1525
67	110	1518
68	111	1510
69	112	1500
70	114	1492
71	115	1485
72	116	1477
73	117	1470
74	118	1463
75	119	1454
76	121	1452
77	122	1444
78	124	1448
79	125	1440
80	126	1431
81	127	1422
82	127	1413
83	128	1404
84	129	1394
85	130	1385
86	131	1376
87	131	1367
88	132	1357
89	133	1347
90	133	1337
91	134	1328
92	135	1318
93	135	1309
94	136	1300
95	137	1291
96	137	1280
97	137	1269
98	138	1261
99	139	1253
100	139	1244
101	140	1236
102	140	1227
103	141	1219
104	141	1209
105	142	1201
106	143	1193
107	143	1185
108	144	1177
109	144	1169
110	145	1161
111	145	1154
112	146	1146
113	146	1139
114	147	1131
115	147	1124
116	147	1116
117	148	1109
118	148	1102
119	149	1095
120	149	1088
121	150	1081
122	150	1074
123	151	1067
124	151	1060
125	152	1054
126	152	1048
127	153	1042
128	153	1037
129	154	1033
130	154	1027
131	155	1021
132	155	1014
133	156	1008
134	156	1002
135	156	997
136	157	991
137	157	985
138	158	980
139	158	975
140	159	969
141	159	963
142	159	958
143	160	953
144	160	947
145	161	941
146	161	936
147	161	931
148	162	926
149	162	921
150	163	917
151	163	912
152	163	907
153	164	902
154	164	898
155	165	893
156	165	888
157	166	884
158	166	880
159	166	876
160	167	871
161	167	867
162	168	863
163	168	859
164	168	854
165	169	850
166	169	846
167	170	842
168	170	839
169	171	835
170	171	831
171	171	827
172	172	822
173	172	819
174	172	815
175	173	811
176	173	808
177	174	804
178	174	801
179	175	797
180	175	794
181	176	791
182	176	787
183	176	784
184	177	781
185	177	777
186	178	774
187	178	771
188	179	768
189	179	765
190	179	761
191	180	758
192	180	755
193	181	752
194	181	749
195	181	746
196	182	743
197	182	740
198	183	737
199	183	734
200	184	731
201	184	728
202	184	725
203	185	722
204	185	720
205	186	718
206	186	715
207	187	712
208	187	710
209	188	707
210	188	705
211	189	703
212	189	700
213	189	697
214	190	695
215	190	692
216	191	690
217	191	687
218	191	684
219	192	682
220	192	679
221	193	677
222	193	674
223	194	672
224	194	670
225	195	667
226	195	665
227	195	663
228	196	660
229	196	659
230	197	657
231	197	655
232	198	652
233	198	650
234	199	648
235	199	646
236	200	644
237	200	641
238	200	639
239	201	637
240	201	635
241	202	633
242	202	631
243	203	629
244	203	626
245	203	624
246	204	622
247	204	620
248	205	618
249	205	616
250	205	614
251	206	612
252	206	610
253	207	608
254	207	607
255	208	605
256	208	603
257	209	601
258	209	600
259	210	598
260	210	597
261	211	595
262	211	593
263	212	592
264	212	590
265	213	588
266	213	587
267	214	585
268	214	584
269	215	582
270	215	580
271	216	579
272	216	577
273	217	575
274	217	574
275	218	572
276	218	570
277	219	569
278	219	567
279	220	566
280	220	564
281	221	563
282	221	561
283	221	559
284	222	557
285	222	556
286	223	555
287	224	553
288	224	552
289	224	550
290	225	549
291	225	547
292	226	545
293	226	544
294	227	542
295	227	541
296	228	539
297	228	538
298	229	537
299	229	535
300	230	534
301	230	532
302	231	531
303	231	529
304	232	528
305	232	527
306	232	525
307	233	524
308	233	522
309	234	521
310	234	519
311	235	518
312	235	516
313	235	515
314	236	513
315	236	512
316	237	511
317	237	509
318	238	508
319	238	507
320	239	505
321	239	504
322	239	502
323	240	501
324	240	500
325	241	499
326	241	497
327	242	496
328	242	495
329	243	494
330	244	493
331	244	491
332	245	491
333	245	490
334	246	488
335	246	488
336	247	486
337	248	485
338	248	484
339	249	483
340	249	482
341	250	481
342	250	480
343	251	479
344	252	478
345	252	477
346	253	476
347	253	475
348	254	474
349	254	473
350	255	471
351	255	470
352	256	469
353	256	468
354	257	467
355	257	466
356	258	465
357	258	464
358	259	463
359	259	461
360	260	460
361	260	459
362	261	458
363	261	457
364	262	456
365	262	455
366	263	454
367	263	453
368	264	452
369	264	451
370	265	450
371	265	448
372	266	447
373	266	446
374	267	445
375	267	444
376	268	443
377	268	442
378	269	441
379	269	440
380	270	439
381	270	437
382	271	436
383	271	435
384	272	434
385	272	433
386	273	432
387	273	431
388	274	430
389	274	429
390	275	428
391	275	427
392	276	426
393	276	425
394	277	424
395	277	423
396	278	422
397	278	421
398	278	420
399	279	419
400	279	418
401	280	417
402	280	416
403	281	415
404	281	414
405	282	413
406	282	411
407	283	410
408	283	409
409	284	408
410	284	407
411	285	406
412	285	405
413	286	404
414	286	403
415	286	402
416	287	401
417	287	400
418	288	399
419	288	398
420	289	397
421	289	396
422	290	395
423	290	394
424	291	393
425	291	392
426	291	391
427	292	390
428	292	389
429	293	388
430	293	387
431	294	386
432	294	386
433	295	385
434	295	384
435	296	383
436	296	382
437	297	381
438	297	380
439	298	379
440	298	378
441	299	377
442	299	376
443	300	375
444	300	374
445	300	373
446	301	372
447	301	371
448	302	371
449	302	370
450	303	369
451	303	368
452	304	367
453	304	366
454	304	365
455	305	364
456	305	363
457	306	362
458	306	361
459	307	360
460	307	359
461	308	359
462	308	358
463	309	357
464	310	356
465	310	355
466	310	354
467	311	353
468	311	353
469	312	352
470	312	351
471	313	350
472	313	349
473	313	348
474	314	347
475	314	346
476	315	345
477	315	344
478	316	343
479	316	343
480	317	342
481	317	341
482	318	340
483	318	339
484	319	338
485	319	338
486	320	337
487	320	336
488	321	335
489	321	335
490	322	334
491	323	333
492	323	332
493	324	332
494	324	331
495	325	330
496	325	329
497	326	328
498	326	327
499	327	327
500	327	326
501	328	325
502	328	324
503	329	323
504	329	322
505	329	322
506	330	321
507	330	320
508	331	319
509	332	319
510	332	318
511	333	317
512	333	316
513	334	315
514	334	315
515	335	314
516	335	313
517	336	313
518	337	312
519	337	311
520	338	310
521	338	310
522	338	309
523	339	308
524	339	307
525	340	306
526	341	306
527	341	305
528	342	304
529	342	303
530	343	302
531	343	302
532	344	301
533	344	300
534	345	299
535	345	299
536	346	298
537	346	297
538	347	296
539	347	296
540	348	295
541	348	294
542	349	293
543	349	293
544	350	292
545	350	291
546	351	291
547	352	290
548	352	289
549	353	289
550	353	288
551	354	287
552	354	286
553	355	286
554	355	285
555	356	284
556	356	283
557	357	283
558	358	282
559	358	281
560	359	280
561	359	280
562	360	279
563	360	278
564	361	278
565	361	277
566	362	276
567	363	276
568	363	275
569	364	274
570	364	274
571	365	273
572	365	272
573	366	271
574	366	271
575	367	270
576	367	269
577	368	268
578	368	268
579	369	267
580	369	266
581	370	266
582	370	265
583	371	264
584	371	263
585	372	263
586	372	262
587	373	261
588	373	260
589	374	260
590	374	259
591	375	258
592	375	257
593	376	257
594	376	256
595	377	255
596	377	254
597	378	254
598	378	253
599	379	252
600	379	251
601	379	251
602	380	250
603	380	249
604	381	248
605	381	248
606	382	247
607	382	246
608	383	246
609	383	245
610	384	244
611	384	243
612	385	243
613	385	242
614	386	241
615	386	241
616	387	240
617	387	239
618	388	238
619	388	238
620	389	237
621	389	236
622	389	235
623	390	235
624	390	234
625	391	233
626	391	233
627	392	232
628	392	231
629	393	230
630	393	230
631	394	229
632	395	229
633	395	228
634	396	227
635	396	227
636	397	226
637	398	225
638	398	225
639	399	224
640	399	223
641	400	223
642	400	222
643	401	221
644	402	221
645	402	220
646	403	220
647	403	219
648	404	218
649	405	218
650	405	217
651	406	216
652	406	216
653	407	215
654	408	214
655	408	214
656	409	213
657	409	213
658	410	212
659	411	211
660	411	211
661	412	210
662	413	210
663	413	209
664	414	208
665	414	207
666	415	207
667	415	206
668	416	205
669	416	205
670	417	204
671	417	203
672	418	203
673	418	202
674	419	201
675	419	201
676	420	200
677	420	199
678	421	199
679	421	198
680	422	197
681	423	197
682	423	196
683	424	196
684	424	195
685	425	194
686	426	194
687	426	193
688	427	192
689	427	192
690	428	191
691	429	191
692	429	190
693	430	189
694	430	189
695	431	188
696	432	187
697	432	187
698	433	186
699	433	185
700	434	185
701	435	184
702	435	184
703	436	183
704	437	182
705	437	182
706	438	181
707	438	181
708	439	180
709	440	179
710	440	179
711	441	178
712	442	177
713	442	177
714	443	176
715	443	176
716	444	175
717	444	174
718	445	174
719	446	173
720	446	172
721	447	172
722	448	171
723	448	171
724	449	170
725	449	169
726	450	169
727	450	168
728	451	167
729	451	167
730	452	166
731	453	165
732	453	165
733	454	164
734	455	164
735	455	163
736	456	162
737	456	162
738	457	161
739	457	160
740	458	160
741	458	159
742	459	158
743	459	158
744	460	157
745	460	156
746	461	156
747	461	155
748	462	154
749	462	154
750	463	153
751	464	153
752	465	152
753	465	151
754	466	151
755	467	150
756	467	150
757	468	149
758	468	148
759	469	148
760	470	147
761	470	147
762	471	146
763	471	145
764	472	145
765	473	144
766	473	143
767	474	143
768	474	142
769	475	141
770	475	141
771	476	140
772	477	140
773	477	139
774	478	138
775	478	138
776	479	137
777	480	136
778	480	136
779	481	135
780	481	135
781	482	134
782	483	133
783	483	133
784	484	132
785	484	131
786	485	131
787	486	130
788	486	130
789	487	129
790	487	128
791	488	128
792	488	127
793	489	126
794	490	126
795	490	125
796	491	125
797	491	124
798	492	123
799	493	123
800	493	122
801	494	122
802	494	121
803	495	120
804	495	120
805	496	119
806	496	118
807	497	118
808	497	117
809	498	116
810	498	116
811	499	115
812	499	114
813	500	114
814	500	113
815	501	113
816	501	112
817	502	111
818	502	111
819	503	110
820	503	109
821	504	109
822	504	108
823	505	107
824	505	107
825	506	106
826	506	106
827	507	105
828	507	104
829	508	104
830	508	103
831	509	102
832	509	102
833	510	101
834	510	100
835	511	100
836	511	99
837	512	99
838	512	98
839	513	97
840	513	97
841	514	96
842	514	95
843	515	95
844	515	94
845	516	93
846	516	93
847	517	92
848	517	92
849	518	91
850	518	90
851	519	90
852	519	89
853	520	88
854	520	88
855	521	87
856	521	87
857	522	86
858	523	85
859	523	85
860	524	84
861	524	84
862	525	83
863	525	82
864	526	82
865	527	81
866	527	80
867	528	80
868	528	79
869	529	79
870	529	78
871	529	77
872	530	77
873	530	76
874	531	75
875	532	75
876	532	74
877	533	74
878	533	73
879	533	72
880	534	72
881	535	71
882	535	70
883	536	70
884	537	69
885	537	69
886	538	68
887	538	67
888	539	67
889	539	66
890	540	66
891	540	65
892	541	64
893	541	64
894	542	63
895	542	63
896	543	62
897	543	61
898	544	61
899	544	60
900	545	59
901	546	59
902	546	58
903	547	58
904	547	57
905	548	56
906	548	56
907	549	55
908	549	55
909	550	54
910	550	53
911	551	53
912	551	52
913	552	51
914	552	51
915	553	50
916	553	50
917	554	49
918	554	48
919	555	48
920	555	47
921	556	47
922	556	46
923	557	45
924	558	45
925	558	44
926	559	44
927	559	43
928	560	42
929	560	42
930	561	41
931	561	40
932	562	40
933	562	39
934	563	39
935	563	38
936	564	37
937	564	37
938	565	36
939	565	36
940	566	35
941	566	34
942	567	34
943	567	33
944	568	33
945	569	32
946	569	31
947	570	31
948	570	30
949	571	30
950	571	29
951	571	28
952	572	28
953	572	27
954	573	27
955	573	26
956	574	25
957	574	25
958	575	24
959	575	23
960	576	23
961	576	22
962	577	22
963	577	21
964	578	20
965	578	20
966	579	19
967	579	19
968	580	18
969	580	17
970	581	17
971	581	16
972	582	16
973	582	15
974	583	14
975	583	14
976	584	13
977	584	13
978	585	12
979	585	11
980	586	11
981	586	10
982	587	10
983	587	9
984	588	8
985	588	8
986	589	7
987	589	7
988	590	6
989	590	5
990	591	5
991	591	4
992	592	4
993	592	3
994	593	2
995	593	2
996	594	1
997	594	1
998	595	0
999	595	0
